,name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,isrc,genres
336,Ere Zij Aan God De Vader,0,0.203,0.314,10,-11.387,1,0.0355,0.905,0.835,0.154,0.147,112.018,204142,4,NLY8X1802360,
337,Aamulla yksin - Boat on the River,0,0.44,0.582,9,-9.908,1,0.0272,0.449,0.0,0.0877,0.231,88.9,208653,4,FIFMF8000085,"classic finnish pop,classic finnish rock,classic iskelma,iskelma"
338,Muhammad Pyare Chale Aa Rahe Hain,0,0.72,0.383,4,-12.169,1,0.327,0.763,0.018,0.661,0.848,115.913,1001001,4,GBKRT8006803,qawwali
339,Aa Gaye Yaaro Jeene Ke Din,0,0.488,0.541,9,-9.787,1,0.118,0.497,0.00752,0.297,0.74,130.986,254683,4,INH100410702,"classic bollywood,desi pop,filmi,sufi"
340,charsaa pi pi sar gae aa,0,0.701,0.857,7,-9.565,0,0.0813,0.8,0.0311,0.74,0.931,79.139,451619,4,QZRP42123004,
341,Tum Yahan Kiyun Aaye Ho (Dialogues),2,0.686,0.365,1,-12.921,1,0.941,0.943,5.95e-06,0.116,0.404,101.353,134947,3,INH100903984,"classic kollywood,filmi,tamil pop"
342,"Jo Tujhe Pasand Aaye (from ""Sachai"")",0,0.519,0.656,5,-6.668,0,0.0415,0.927,0.00199,0.0608,0.859,115.569,269080,4,US6R21324707,"classic pakistani pop,ghazal"
343,Aato Gyan ni Vato Chhani - Live,0,0.383,0.801,6,-7.574,1,0.0893,0.88,0.0102,0.247,0.501,99.632,874750,4,GBSMU9712613,gujarati garba
344,Behni Aevi Aapna Mota Gharni Reeto,0,0.488,0.376,7,-7.557,0,0.0806,0.978,3.12e-06,0.399,0.639,96.666,359387,4,INH101501287,"classic bangla pop,classic bollywood,filmi"
345,Aa Ke Dard Jawan Hai - Remix,1,0.754,0.748,7,-10.903,0,0.0951,0.0109,0.000927,0.181,0.591,104.973,310787,4,INH100352540,filmi
346,Aaiye Meharban - Hum Paanch / Soundtrack Version,0,0.566,0.605,7,-10.277,1,0.102,0.827,0.000679,0.13,0.774,102.521,337200,4,INUM70501030,"classic bollywood,filmi,modern bollywood"
347,"Tuss-Ola, Springleik - Etter Ola Aasen",0,0.256,0.598,5,-4.822,1,0.0407,0.931,0.754,0.0985,0.547,121.42,103133,3,NOFCT8017170,norwegian folk
348,Madine Ki Galiyon Se Awaz Aai,0,0.415,0.728,2,-9.858,1,0.105,0.756,2.14e-06,0.186,0.717,94.639,685560,4,INH100461100,"classic bollywood,filmi"
349,"Rajdulara Aankh Ka Tara, Pt. 2",0,0.387,0.374,4,-11.76,1,0.0439,0.875,4.62e-05,0.249,0.418,149.592,288520,3,INH100404555,"chutney,classic bollywood,desi pop,filmi"
350,Yeh Subah Shaam Raas Na Aaye,0,0.253,0.285,6,-14.95,1,0.0472,0.949,0.304,0.137,0.222,178.085,209773,4,INH100506470,"classic bollywood,ghazal"
351,Aaya Na Karo Gudiya Mere Paas,0,0.449,0.382,7,-10.808,1,0.0268,0.892,0.000295,0.137,0.683,77.303,192133,4,INH109739360,"chutney,classic bollywood,desi pop,filmi"
352,"Aaja Mere Paas Re (from ""Naya Suraj"")",0,0.199,0.804,3,-6.697,1,0.0443,0.785,0.346,0.17,0.738,96.925,274920,4,US6R21324716,"classic bollywood,classic pakistani pop,filmi,ghazal,pakistani pop"
353,Aa Kuchh Karen Is Haseen Raat Men,0,0.42,0.379,2,-15.265,0,0.0358,0.857,0.000363,0.278,0.483,83.506,332616,3,INH100455210,classic bollywood
354,"Mujhe Aayi Na Jag Se (from ""Naz"")",0,0.38,0.727,5,-7.664,0,0.0384,0.844,0.0029,0.336,0.848,147.551,154600,4,US6R21324713,old school rap francais
355,Aan Het Strand Stil En Verlaten - Medley,1,0.45,0.411,2,-12.769,1,0.0312,0.528,0.0,0.329,0.651,189.42,249067,3,NLA240604541,"dutch cabaret,dutch rock,levenslied,nederpop"
356,Mahi Tere Pyar Diyan Aasan Aj Tutiyan,0,0.44,0.672,4,-7.329,1,0.041,0.807,3.35e-06,0.106,0.759,129.389,374933,4,GBKRT8069303,"classic pakistani pop,ghazal,pakistani pop,sufi"
357,'t Was aan de Costa del Sol,30,0.55,0.726,1,-9.435,1,0.0373,0.163,0.0,0.184,0.926,97.374,165230,4,NLA349700226,"kermis,levenslied,nederpop,piratenmuziek,vintage dutch pop"
358,Na Rukte Hain Aansoo - Complete Original Version,12,0.37,0.569,4,-10.316,0,0.0948,0.461,2.68e-05,0.109,0.737,83.735,859003,4,GBKRT8011801,"indian fusion,pakistani folk,qawwali,sufi,world"
359,Heer Ik Geef M' Aan U Volkomen,0,0.199,0.232,0,-18.086,1,0.039,0.957,0.0306,0.12,0.143,145.527,208033,4,NLY8X1802365,
360,Aapne Pyar Diya Pyar Se Maar Diya,0,0.341,0.445,4,-13.579,0,0.0557,0.928,0.875,0.15,0.73,160.41,295133,3,INH100426810,"classic bollywood,filmi,ghazal"
361,Aati Hai Palki - Hum Paanch / Soundtrack Version,0,0.332,0.678,8,-10.179,1,0.111,0.699,0.0,0.317,0.692,181.64,382320,3,INUM70501033,
362,Amsterdam Daar Moet Je Wat Aan Doen,0,0.419,0.469,7,-11.93,1,0.0465,0.686,0.0,0.243,0.95,175.997,184227,4,NLE321701829,
363,Daar Zat Een Aapje Op Een Stokje,0,0.747,0.447,3,-12.865,1,0.444,0.677,0.0,0.0494,0.241,140.118,24573,4,NLA308000160,
364,Dost Wohi Dost Ke Aaye Jo Kam,0,0.495,0.543,9,-12.219,1,0.115,0.819,4.98e-06,0.358,0.921,146.485,194733,3,INH100410562,"classic bollywood,filmi,ghazal"
365,Aa Sajna Ve Jag Jeondian De Mele,0,0.473,0.522,3,-11.128,1,0.179,0.51,3.81e-06,0.475,0.589,137.789,932280,4,GBKRT8014002,
366,Aati Hai Palki - Hum Paanch / Soundtrack Version,3,0.335,0.661,8,-10.269,1,0.0895,0.671,0.0,0.319,0.697,181.012,382320,3,INUM70501033,"classic bollywood,classic pakistani pop,filmi,ghazal"
367,"Hadinaru Endare (From ""Ondu Hennu Aaru Kannu"")",0,0.594,0.709,1,-7.849,1,0.152,0.939,0.00837,0.644,0.739,120.711,185549,4,INH101101667,
368,Jali Hai Nafrat Ki Aag Dil Men,0,0.528,0.428,6,-9.978,1,0.344,0.812,0.0,0.367,0.691,97.951,514720,4,INH100805702,"chutney,classic bollywood,desi pop,filmi"
369,Basu Tum Bapas Kiyun Aa Gaye (Dialogues),1,0.646,0.431,7,-11.182,1,0.896,0.985,0.00361,0.513,0.623,77.805,231200,4,INH100903985,"classic kollywood,filmi,tamil pop"
370,Ik Heb M'n Hart Aan de Zee Verloren,0,0.716,0.419,7,-12.614,1,0.0428,0.632,0.0,0.0859,0.527,98.714,174196,3,NLM232100385,piratenmuziek
371,Phool Dekhe To Baharon Ki Badi Yaad Aayee,0,0.327,0.26,3,-17.125,0,0.0293,0.981,0.792,0.308,0.38,102.939,449173,4,INH109417760,"classic bollywood,classic pakistani pop,filmi,ghazal"
372,Lo Hum Aa Gaye Hain Phir Tere Dar,0,0.283,0.679,8,-9.516,1,0.0638,0.704,0.000349,0.235,0.647,88.313,290747,4,INH100405537,qawwali
373,Twee Mobiele Ogen Die Keken De Kraker Aan,0,0.561,0.601,0,-10.17,1,0.15,0.421,0.0,0.275,0.93,205.938,213733,3,NLC288000120,
374,Aare Bhai Suna (Ey Rasa Jaa Chaali Jaa),0,0.499,0.615,6,-12.529,1,0.212,0.949,3.74e-05,0.65,0.746,144.912,243987,4,INH100620555,
375,Ismail Di Deo Qurbani Hukam Khuda Da Aa Gaya,0,0.656,0.349,2,-8.652,1,0.214,0.959,0.0774,0.0628,0.88,140.655,526813,4,GBKRT8038707,
376,Tum Nahin Aaye Abhi - Main Aur Meri Tanhai / Soundtrack Version,0,0.555,0.338,0,-15.431,1,0.0313,0.771,0.00281,0.128,0.62,133.885,247440,3,INUM70501246,"classic bollywood,desi pop,filmi,ghazal,hare krishna,sufi"
377,Pieteröliekar - Ik Ben Alie Van De Wegenwacht - Aa'me Hoelala - Medley,1,0.524,0.554,0,-10.917,1,0.0309,0.00613,0.946,0.266,0.882,114.109,269387,4,NLTC41600619,"classic dutch pop,vintage dutch pop"
378,Tum Nahin Aaye Abhi - Main Aur Meri Tanhai / Soundtrack Version,0,0.566,0.329,0,-15.34,1,0.0315,0.767,0.00117,0.13,0.653,133.834,247440,3,INUM70501246,"classic bollywood,desi pop,filmi,ghazal,hare krishna,sufi"
379,Aaj Kisi Ne Baton Baton Mein Jab Unka Naam Liya,0,0.394,0.395,6,-12.395,1,0.0301,0.598,0.00016,0.308,0.666,67.891,206493,4,INH100905548,
380,Aapno Se Munh Mod Ke (Part II) - Hum Paanch / Soundtrack Version,0,0.325,0.43,1,-11.819,1,0.065,0.836,0.0,0.0886,0.163,141.869,103653,4,INUM70501031,"classic bollywood,desi pop,filmi,sufi"
381,Aapno Se Munh Mod Ke (Part II) - Hum Paanch / Soundtrack Version,1,0.323,0.419,1,-11.968,1,0.0559,0.837,2.47e-06,0.0787,0.162,142.201,103653,4,INUM70501031,"classic bollywood,desi pop,filmi,sufi"
382,De Voorlopige Aanslag 1981 / F. Jacobse En Tedje Van Es Maken Hun Balans Op,10,0.715,0.272,9,-14.875,1,0.916,0.54,0.0,0.709,0.708,132.771,609227,4,NLUM70500430,dutch cabaret
383,Schlafe mein Prinzchen schlaf ein / The First Noel / Er Is Een Kindeke Geboren Op Aard,0,0.437,0.118,2,-14.884,1,0.0287,0.774,0.918,0.203,0.239,96.414,222699,3,NLA340926010,
384,Hoor Je Het Ruisen Der Golven - Aan De Grens Van De Duitse Heuvelen - Greetje Uit De Polder - Medley,1,0.185,0.538,5,-11.007,1,0.0327,0.000373,0.612,0.316,0.694,183.572,315280,3,NLTC41600616,"classic dutch pop,vintage dutch pop"
385,"SURAT AN NAHL 125-128, BANI ISRAIL 1-15, SURAT LUQMAN 12-28, AL AADIYAT 1-11, Vol. 10",0,0.31,0.0985,5,-13.827,1,0.0432,0.966,0.000869,0.0977,0.116,108.049,3314575,3,FR10S1977977,
386,"Tulpen Uit Amsterdam - Aan Het Noordzeestrand-Drink, Drink, Broederlein Drink - In Műnchen Staat Een Brouwerij - Ja Zo'n Reisje Langs De Rijn - Rosamunde-Cirkus Renz - Medley",0,0.192,0.66,0,-7.968,1,0.0395,0.0112,0.897,0.143,0.805,175.862,276160,3,NLTC41600091,"classic dutch pop,vintage dutch pop"
387,A'ala Dal'ouna,0,0.576,0.62,2,-9.416,1,0.0492,0.896,4.74e-06,0.92,0.725,135.919,113200,3,FR10S2051861,classic arab pop
388,Tes'al A'anni,0,0.541,0.124,3,-13.38,1,0.0387,0.946,0.0,0.478,0.407,85.897,172760,4,FR10S2051864,classic arab pop
389,A'al Hob El Hob,0,0.526,0.519,5,-11.124,1,0.0742,0.768,0.0,0.85,0.724,139.243,137467,4,FR10S2051862,classic arab pop
390,What I Like About You,66,0.514,0.942,9,-8.433,1,0.0502,0.282,6.6e-05,0.17,0.912,159.847,175267,4,USSM17900292,"album rock,classic rock,mellow gold,new romantic,new wave,new wave pop,power pop,rock,soft rock,synthpop"
391,Nothin' You Can Do About It,42,0.639,0.581,5,-12.552,0,0.0334,0.464,1.53e-06,0.357,0.56,75.716,287067,4,USRC19901209,"deep soft rock,yacht rock"
392,Above Chiangmai - Remastered 2004,39,0.239,0.00371,1,-34.16,0,0.0494,0.996,0.907,0.132,0.07,132.223,175747,4,GBAAA0400433,"ambient,american contemporary classical,art pop,art rock,compositional ambient,drone,fourth world,minimalism"
393,Oye Abre Tus Ojos,36,0.554,0.709,8,-11.741,1,0.164,0.0342,0.000469,0.0828,0.818,133.511,266139,4,QZNJV2248494,merengue
394,Don't Get Above Your Raising,26,0.629,0.376,7,-14.406,1,0.0785,0.151,0.00487,0.117,0.965,187.602,186600,4,USSM10013450,"bluegrass,bluegrass gospel,country,country rock,mandolin,old-time,progressive bluegrass"
395,Something About England - Remastered,30,0.648,0.72,0,-8.801,1,0.0401,0.149,0.0,0.105,0.672,136.412,223333,4,GBARL1200728,"classic rock,permanent wave,punk,rock"
396,Stand Up and Shout About Love,26,0.814,0.466,7,-12.927,1,0.0819,0.719,4.71e-06,0.0838,0.693,99.861,252400,4,USWB11000440,"funk,quiet storm,urban contemporary"
397,Oye Abre Tus Ojos,39,0.557,0.73,8,-11.257,1,0.14,0.0343,0.000395,0.0531,0.814,132.924,266052,4,FR10S2049105,merengue
398,All About You - Remastered,27,0.62,0.384,5,-9.128,1,0.0259,0.335,0.00611,0.147,0.224,86.727,257933,4,GBUM70909393,"british invasion,classic rock,rock"
399,"ギャラクティック・ファンク - Live at ABC Hall, Shiba Tokyo, Feb. 1980",25,0.504,0.949,6,-9.798,0,0.0425,0.000636,0.848,0.485,0.564,128.78,413107,4,JPAL08502034,"japanese jazz,japanese jazz fusion,jazz fusion"
400,God Bless the Absentee,25,0.567,0.529,0,-9.92,0,0.0291,0.5,0.0273,0.0764,0.667,150.1,197533,4,USSM11002267,"classic rock,folk,folk rock,mellow gold,permanent wave,rock,roots rock,singer-songwriter,soft rock"
401,"ミッドナイト・ランデブー - Live at ABC Hall, Shiba Tokyo, Feb. 1980",25,0.595,0.755,4,-9.154,0,0.0928,0.219,0.471,0.688,0.805,111.644,374747,4,JPAL08000374,"japanese jazz,japanese jazz fusion,jazz fusion"
402,Boy About Town,30,0.385,0.766,7,-7.904,1,0.0664,0.0123,2.73e-06,0.375,0.946,157.131,117960,4,GBAKW8000137,"mod revival,new wave,punk,rock"
403,All About The Heaven,21,0.609,0.241,2,-18.105,0,0.0421,0.831,0.0476,0.091,0.486,84.547,239427,4,USAM18000863,"classic soul,disco,funk,jazz funk,post-disco,quiet storm,soul"
404,Set The House Ablaze,27,0.272,0.896,7,-7.55,1,0.0578,0.000109,0.751,0.184,0.653,167.377,300000,4,GBAKW8001008,"mod revival,new wave,punk,rock"
405,"スペース・ロード - Live at ABC Hall, Shiba Tokyo, Feb. 1980",22,0.354,0.797,2,-8.553,1,0.0889,0.000318,0.545,0.812,0.483,150.824,384653,4,JPAL08000324,"japanese jazz,japanese jazz fusion,jazz fusion"
406,Tryin' Not To Think About It,16,0.626,0.627,7,-7.01,0,0.0257,0.00162,0.00919,0.0692,0.585,103.805,383227,4,USCA27900179,"album rock,art rock,blues rock,classic rock,country rock,folk rock,hard rock,mellow gold,rock,soft rock"
407,Drinking About My Baby,21,0.392,0.98,9,-6.929,1,0.115,0.000131,0.246,0.347,0.412,160.649,208827,4,GBBHN8600032,"alternative rock,gothic rock,hardcore punk,new wave,post-punk,pub rock,punk,punk blues"
408,"アイム・ソーリー - Live at ABC Hall, Shiba Tokyo, Feb. 1980",19,0.372,0.728,0,-8.658,1,0.0793,0.481,0.398,0.173,0.756,200.475,304853,4,JPAL08000344,"japanese jazz,japanese jazz fusion,jazz fusion"
409,El Abandonado,11,0.757,0.657,10,-6.607,1,0.0619,0.317,0.000188,0.279,0.631,107.746,229205,4,USG2M1700281,"musica mexicana,norteno"
410,"ブラック・ジョーク - Live at ABC Hall, Shiba Tokyo, Feb. 1980",19,0.559,0.877,11,-8.764,0,0.0557,0.000918,0.649,0.603,0.592,125.939,543640,4,JPAL08000364,"japanese jazz,japanese jazz fusion,jazz fusion"
411,What About You,13,0.467,0.378,0,-12.795,1,0.0298,0.497,0.67,0.0851,0.525,177.116,213653,3,USRN10300153,"country,country rock,outlaw country,texas country"
412,Abrázame,27,0.554,0.362,2,-12.624,0,0.0323,0.488,0.0,0.132,0.362,86.868,198067,4,MXF148000085,adult standards
413,Reckless Abandoner,13,0.505,0.673,4,-12.618,0,0.0408,0.0265,0.0,0.177,0.684,125.579,311798,4,USEW10000361,"album rock,blues rock,classic rock,country rock,hard rock,native american,rock,southern rock"
414,Abrazadito a la Luna,13,0.827,0.557,7,-13.464,0,0.125,0.852,0.000354,0.0611,0.802,133.597,277059,4,FR10S2035282,merengue
415,"Think About Me - Live at Kemper Arena, Kansas City, MO 8/24/80",17,0.525,0.781,4,-8.095,1,0.0342,0.268,0.00792,0.798,0.187,130.391,189773,4,USWB11901175,"album rock,classic rock,rock,soft rock,yacht rock"
416,Out On The Ocean / Tiocfaidh Tú Abhaile Liom (Double Jigs) - Remastered 2020,18,0.229,0.551,2,-7.269,1,0.0478,0.858,0.785,0.309,0.829,176.429,200152,3,IEUM72000041,"british folk,celtic,irish folk,uilleann pipes"
417,More Songs About Chocolate and Girls,17,0.453,0.499,1,-10.606,1,0.0352,4.35e-05,3.34e-06,0.257,0.942,145.516,163467,4,GBAJE8000101,"mod revival,new wave,new wave pop,northern irish punk,post-punk,pub rock,punk"
418,"Maine Poochha Chand Se - From ""Abdullah""",47,0.467,0.379,1,-10.21,1,0.0317,0.629,0.0,0.0759,0.322,129.805,309080,3,INP100200017,"classic bollywood,desi pop,filmi,sufi"
419,Can't Forget About You,9,0.399,0.404,10,-10.536,1,0.0387,0.349,0.00231,0.0523,0.47,148.726,337600,3,USRN19400048,"country,country road,country rock"
420,"スペース・ロード - Live at ABC Hall, Shiba Tokyo, Feb. 1980",13,0.386,0.837,2,-8.829,1,0.108,0.000714,0.877,0.974,0.507,151.608,398027,4,JPAL00900480,"japanese jazz,japanese jazz fusion,jazz fusion"
421,Let's Stop Talkin' About It,9,0.617,0.679,5,-8.273,1,0.0318,0.158,0.0,0.161,0.78,129.909,197000,4,USSM19805648,classic country pop
422,"セイリング・アローン - Live at ABC Hall, Shiba Tokyo, Feb. 1980",13,0.522,0.784,0,-9.471,1,0.0496,0.347,0.887,0.801,0.617,112.363,473973,4,JPAL00900490,"japanese jazz,japanese jazz fusion,jazz fusion"
423,Abri a Porta (feat. Gilberto Gil),36,0.501,0.823,0,-5.752,1,0.0386,0.441,0.0,0.427,0.811,154.999,265560,4,BRBMG8000118,"bossa nova,mpb,samba,tropicalia,violao"
424,I Have a Friend Above All Others,9,0.533,0.297,11,-15.397,1,0.0307,0.145,0.000806,0.459,0.494,82.686,186613,4,USFP71552408,"classic soul,funk,memphis soul,quiet storm,soul,soul blues,southern soul"
425,Speak About It,10,0.423,0.915,4,-10.854,0,0.0468,0.238,0.00258,0.295,0.754,127.015,356093,4,USSM10200616,"funk,jazz funk"
426,"ブラック・ジョーク - Live at ABC Hall, Shiba Tokyo, Feb. 1980",11,0.543,0.881,11,-8.877,0,0.0519,0.00249,0.737,0.964,0.63,127.278,547067,4,JPAL00900520,"japanese jazz,japanese jazz fusion,jazz fusion"
427,"Tune Abhi Dekha Nahin, Pt. 2",12,0.563,0.419,3,-16.527,1,0.0513,0.888,0.00365,0.396,0.664,109.344,329467,4,INH109535860,"classic bollywood,desi pop,filmi,modern bollywood"
428,"アイム・ソーリー - Live at ABC Hall, Shiba Tokyo, Feb. 1980",11,0.546,0.741,0,-8.955,1,0.0457,0.501,0.374,0.951,0.766,100.256,309960,4,JPAL00900500,"japanese jazz,japanese jazz fusion,jazz fusion"
429,"ミッドナイト・ランデブー - Live at ABC Hall, Shiba Tokyo, Feb. 1980",10,0.611,0.748,4,-9.449,0,0.068,0.256,0.712,0.886,0.851,111.764,394107,4,JPAL00900530,"japanese jazz,japanese jazz fusion,jazz fusion"
430,There's Something About You,9,0.888,0.718,9,-11.397,0,0.0557,0.135,0.0311,0.05,0.937,112.91,328867,4,USWB11000442,"funk,quiet storm,urban contemporary"
431,Ab Ke Baras,12,0.418,0.587,6,-10.401,1,0.112,0.484,0.0,0.575,0.663,94.427,389512,4,INH109739170,"classic bollywood,classic pakistani pop,filmi,ghazal"
432,"ハヴ・ア・ナイス・ドリーム - Live at ABC Hall, Shiba Tokyo, Feb. 1980",11,0.45,0.137,0,-18.637,1,0.0763,0.898,0.719,0.127,0.112,102.046,390800,4,JPAL00900510,"japanese jazz,japanese jazz fusion,jazz fusion"
433,Soul / Heaven Above Me,10,0.818,0.745,4,-9.094,0,0.0349,0.0295,0.00116,0.228,0.874,128.073,627933,4,USRH10801444,"adult standards,bubblegum pop,disco,mellow gold,soft rock"
434,We'll Talk About It Later,7,0.639,0.189,6,-15.488,1,0.0399,0.787,0.0,0.133,0.396,145.195,145520,4,USSM19903491,"country,country dawn,country rock,nashville sound"
435,An Dórd Feinne (Óró Sé Bheatha Abhaile,8,0.718,0.387,4,-11.503,1,0.0519,0.789,0.0,0.119,0.481,88.213,140707,4,ushm91196977,"celtic,irish folk"
436,Aai Khuda Har Faisla - Abdullah / Soundtrack Version,21,0.49,0.381,7,-10.774,1,0.033,0.805,4.52e-06,0.231,0.253,98.032,290480,3,INUM70500882,"classic bollywood,desi pop,filmi,modern bollywood"
437,Vela Aberta,35,0.572,0.745,7,-8.642,1,0.0444,0.0895,8.64e-06,0.147,0.855,138.329,252013,4,BRSME8000209,mpb
438,Entre Espinas y Abrojos,8,0.897,0.417,5,-6.9,1,0.0543,0.76,0.0,0.454,0.944,114.812,151812,4,MXF368038988,
439,Popilation Basse-Terrienne Au Abois,15,0.689,0.947,1,-8.415,1,0.215,0.261,5.64e-05,0.244,0.882,129.133,272560,4,DEG931050230,"cumbia funk,gwoka"
440,"Tune Abhi Dekha Nahin, Pt. 1",9,0.663,0.247,8,-19.303,1,0.299,0.665,0.0528,0.051,0.762,92.785,144483,4,INH100161570,"classic bollywood,filmi,modern bollywood"
441,"Messiah / Part 1: ""Thus Saith The Lord...But Who May Abide""",10,0.256,0.178,8,-19.002,0,0.0574,0.91,1.14e-05,0.133,0.326,76.905,331173,4,GBF077930204,"classical performance,historically informed performance,orchestral performance"
442,AB/7A - Remastered,3,0.483,0.743,8,-13.129,1,0.0411,0.000677,0.84,0.0924,0.982,96.514,263718,4,GBYFG1100085,"art rock,british experimental,british industrial,experimental,experimental rock,industrial,industrial rock,laboratorio,neue deutsche welle,post-punk"
443,Boy About Town - Remastered,9,0.388,0.771,7,-8.821,1,0.0687,0.00738,0.0,0.24,0.938,156.933,118320,4,GBUM71028937,"mod revival,new wave,punk,rock"
444,All About The Paper,7,0.607,0.814,11,-9.047,1,0.125,0.101,0.0,0.0651,0.683,123.211,331013,4,USUM72210288,"chicago soul,classic soul,funk,quiet storm,rhythm and blues,soul,southern soul"
445,All About The Paper,7,0.682,0.749,5,-8.746,0,0.167,0.224,0.0,0.118,0.921,108.959,280373,4,GBBLG7900003,"chicago soul,classic soul,motown,northern soul,rhythm and blues,soul,southern soul"
446,The Truth from Above,9,0.37,0.0706,5,-14.657,1,0.0367,0.927,0.0,0.0902,0.443,94.913,136267,4,GBAJE0500837,british folk
447,Set The House Ablaze - Remastered,11,0.298,0.881,11,-8.726,0,0.0586,0.000174,0.819,0.183,0.661,167.11,300453,4,GBUM71028925,"mod revival,new wave,punk,rock"
448,More Songs About Chocolate and Girls,3,0.446,0.493,1,-10.897,1,0.0361,4.3e-05,5.63e-06,0.231,0.94,145.477,165547,4,GBAJE8000101,"mod revival,new wave,new wave pop,northern irish punk,post-punk,pub rock,punk"
449,Prece para Abertura de Reunião Espírita,10,0.518,0.161,5,-21.862,1,0.178,0.551,0.0,0.224,0.393,121.762,341287,3,BRLSR0600566,
450,Med Suntrip mot solen - Ur Lasse Åbergs film sällskapsresan,34,0.674,0.729,0,-6.177,1,0.027,0.597,0.883,0.0921,0.889,99.071,138893,3,SEAMG0400492,
451,Dance Music (Abdullah) - Abdullah / Soundtrack Version,7,0.65,0.531,7,-13.771,0,0.773,0.335,0.534,0.0891,0.557,128.74,153773,4,INUM70500885,"chutney,classic bollywood,filmi,modern bollywood"
452,Absentee,5,0.598,0.778,11,-9.657,1,0.032,0.0835,0.517,0.0623,0.865,158.106,198427,4,GBUM71503114,uk post-punk
453,Cajueiro Abalador,7,0.675,0.779,6,-6.931,0,0.0473,0.248,2.9e-06,0.255,0.969,112.655,118700,4,BXN9M2005761,"coco,forro tradicional"
454,Abrigo Seguro,7,0.417,0.278,2,-9.026,1,0.031,0.712,5.27e-06,0.14,0.529,91.06,177111,3,BRGVR1900352,gospel antigas
455,Total Abandono,15,0.615,0.616,2,-11.694,1,0.0392,0.898,0.000365,0.203,0.853,152.796,131067,4,BREMI8000295,"bossa nova,mpb,musica alagoana"
456,"Alfons Åberg, signatur",7,0.672,0.229,2,-16.899,1,0.118,0.925,0.945,0.205,0.803,118.272,26933,4,SEAZC8003010,barnsagor
457,Think About That,2,0.909,0.557,0,-9.042,1,0.0422,0.00416,0.000579,0.0176,0.94,118.323,296547,4,USUM72012061,"contemporary r&b,disco,funk,post-disco,quiet storm,soul,urban contemporary"
458,Abre-Te Sésamo,29,0.653,0.466,9,-9.694,1,0.214,0.743,0.0,0.0742,0.792,115.708,153160,4,BRSME8000011,"brazilian rock,mpb,psicodelia brasileira,rock baiano,rock nacional brasileiro"
459,"Guten Abend, gut' Nacht",5,0.262,0.276,0,-9.858,1,0.0292,0.871,0.025,0.245,0.128,70.751,205347,3,DEF068000860,
460,So Sad About Us,3,0.467,0.794,4,-12.341,1,0.0503,0.281,0.288,0.0865,0.558,130.321,185574,4,USCRB0201908,bubblegum pop
461,Ben Mahpus Abem Candarma,5,0.404,0.631,9,-9.526,1,0.0381,0.388,0.234,0.224,0.513,111.135,284584,4,TR2611902173,turkish folk
462,Wild About My Lovin' - Studio,2,0.334,0.696,2,-11.441,1,0.0445,0.693,6.05e-05,0.127,0.479,182.88,158267,4,USEWJ0701414,"bubblegum pop,classic rock,country rock,folk,folk rock,mellow gold,merseybeat,psychedelic rock,rock,rock-and-roll,roots rock,soft rock"
463,Vesame y Abraçame Marido Mio,5,0.519,0.533,9,-6.723,0,0.0412,0.7,0.075,0.264,0.966,112.013,66667,3,ARF248024810,"cancion infantil latinoamericana,musica para ninos"
464,Mandy - Abbey Road Mix 2008,7,0.504,0.975,3,-2.913,1,0.0395,0.0703,0.005,0.261,0.461,104.552,238027,4,GB01A0900070,"album rock,glam metal,hard rock,metal,nwobhm,power metal,rock"
465,I Didn't Know About You,2,0.388,0.0523,3,-21.267,1,0.0337,0.956,3.62e-06,0.15,0.206,92.752,246200,1,USFI88000274,"adult standards,jazz,lounge,swing,torch song,vocal jazz"
466,"20,000 Ft - Abbey Road Mix 2008",8,0.43,0.989,8,-4.956,1,0.132,0.00481,0.00122,0.173,0.2,133.998,250427,4,GB01A0900069,"album rock,glam metal,hard rock,metal,nwobhm,power metal,rock"
467,Your Good Thing (Is About To End),4,0.458,0.375,3,-7.355,1,0.031,0.0731,0.0431,0.15,0.291,106.677,333893,3,USIR20300786,"adult standards,bubblegum pop,country rock,disco,folk rock,mellow gold,soft rock,yacht rock"
468,Heavy Metal Thunder - Abbey Road Mix 2008,9,0.416,0.993,1,-4.937,1,0.195,0.00469,0.00235,0.0701,0.133,110.525,255360,4,GB01A0900071,"album rock,glam metal,hard rock,metal,nwobhm,power metal,rock"
469,She Don't Care About Time - Single Version,2,0.446,0.591,2,-12.018,1,0.0335,0.617,0.00292,0.317,0.803,130.707,148733,4,USSM10023918,"art rock,beatlesque,blues rock,classic rock,cosmic american,country rock,folk,folk rock,mellow gold,psychedelic rock,rock,roots rock,soft rock"
470,I Want To Talk About You - Live,3,0.45,0.201,3,-17.759,1,0.0456,0.835,0.13,0.555,0.657,113.462,594000,4,USFI88000227,"bebop,free jazz,jazz,jazz saxophone"
471,To Hell and Back Again - Abbey Road Mix 2008,9,0.541,0.977,1,-4.862,1,0.0561,0.00282,0.0121,0.0325,0.541,131.52,286520,4,GB01A0900068,"album rock,glam metal,hard rock,metal,nwobhm,power metal,rock"
472,Noventa Anos De Abolição (G.R.A.N. Escola De Samba Do Quilombo),17,0.638,0.81,6,-7.383,1,0.0661,0.432,0.0,0.31,0.854,125.558,176040,4,BREMI8282015,"pagode,partido alto,samba,samba moderno,velha guarda"
